PupsID,Region,Age,Metabolite,bvalue,Attenuation
3,Thalamus,5,Glu,3.035,0
3,Thalamus,5,Glu,6,0
3,Thalamus,5,Glu,10,0
3,Thalamus,5,Glu,20,0
3,Thalamus,5,Glu,30,0
12,Cerebellum,5,Glu,0.035,1
12,Cerebellum,5,Glu,3.035,0.779661016949153
12,Cerebellum,5,Glu,6,0.610169491525424
12,Cerebellum,5,Glu,10,0.366666666666667
12,Cerebellum,5,Glu,20,0.274576271186441
12,Cerebellum,5,Glu,30,0.26045197740113
4,Thalamus,5,Glu,0.035,1
4,Thalamus,5,Glu,3.035,0.674528301886792
4,Thalamus,5,Glu,6,0.437264150943396
4,Thalamus,5,Glu,10,0.35377358490566
4,Thalamus,5,Glu,20,0.278301886792453
4,Thalamus,5,Glu,30,0.0432075471698113
13,Cerebellum,5,Glu,0.035,1
13,Cerebellum,5,Glu,3.035,0.495652173913044
13,Cerebellum,5,Glu,6,0.47463768115942
13,Cerebellum,5,Glu,10,0.254347826086956
13,Cerebellum,5,Glu,20,0.0517391304347826
13,Cerebellum,5,Glu,30,0.118115942028986
5,Thalamus,5,Glu,0.035,1
5,Thalamus,5,Glu,3.035,0.736585365853659
5,Thalamus,5,Glu,6,0.492682926829268
5,Thalamus,5,Glu,10,0.389268292682927
5,Thalamus,5,Glu,20,0.219024390243902
5,Thalamus,5,Glu,30,0.121463414634146
14,Cerebellum,5,Glu,0.035,1
14,Cerebellum,5,Glu,3.035,0.666666666666667
14,Cerebellum,5,Glu,6,0.565384615384615
14,Cerebellum,5,Glu,10,0.379487179487179
14,Cerebellum,5,Glu,20,0.242948717948718
14,Cerebellum,5,Glu,30,0.136538461538462
6,Thalamus,5,Glu,0.035,1
6,Thalamus,5,Glu,3.035,0.751219512195122
6,Thalamus,5,Glu,6,0.551219512195122
6,Thalamus,5,Glu,10,0.438048780487805
6,Thalamus,5,Glu,20,0.215121951219512
6,Thalamus,5,Glu,30,0.115121951219512
15,Cerebellum,5,Glu,0.035,1
15,Cerebellum,5,Glu,3.035,0.705384615384615
15,Cerebellum,5,Glu,6,0.463846153846154
15,Cerebellum,5,Glu,10,0.39
15,Cerebellum,5,Glu,20,0.217692307692308
15,Cerebellum,5,Glu,30,0.0946153846153846
7,Thalamus,5,Glu,0.035,1
7,Thalamus,5,Glu,3.035,0.648965517241379
