PupId,Region,Age,Metabolite,MixTime,ADC,ADCcorr
10,Cerebellum,5,Tau,100,0.15636726013153,0.15636726013153
10,Cerebellum,5,Tau,500,0.105767440171164,0.105767440171164
10,Cerebellum,5,Tau,750,0.0953823842445658,0
10,Cerebellum,5,Tau,1000,0.115188988842365,0.115188988842365
2,Thalamus,5,Tau,100,0.152550287092912,0.152550287092912
2,Thalamus,5,Tau,500,0.129877880963828,0.129877880963828
2,Thalamus,5,Tau,750,0.132379555110537,0.132379555110537
2,Thalamus,5,Tau,1000,0.107429200543085,0.107429200543085
11,Cerebellum,5,Tau,100,0.101931274131609,0.101931274131609
11,Cerebellum,5,Tau,500,0.107505341709138,0.107505341709138
11,Cerebellum,5,Tau,750,0.0756858168784487,0.0756858168784487
11,Cerebellum,5,Tau,1000,0.0818034506966537,0.0818034506966537
3,Thalamus,5,Tau,100,0,0
3,Thalamus,5,Tau,500,0,0
3,Thalamus,5,Tau,750,0,0
3,Thalamus,5,Tau,1000,0,0
12,Cerebellum,5,Tau,100,0.121298397304073,0.121298397304073
12,Cerebellum,5,Tau,500,0.107046579547542,0.107046579547542
12,Cerebellum,5,Tau,750,0.0976346721443109,0.0976346721443109
12,Cerebellum,5,Tau,1000,0.102243422474158,0.102243422474158
4,Thalamus,5,Tau,100,0.156259129174164,0.156259129174164
4,Thalamus,5,Tau,500,0.147005364124161,0.147005364124161
4,Thalamus,5,Tau,750,0.121200920915751,0.121200920915751
4,Thalamus,5,Tau,1000,0.130541352232098,0.130541352232098
13,Cerebellum,5,Tau,100,0.21014952878146,0
13,Cerebellum,5,Tau,500,-0.0124858541783001,0
13,Cerebellum,5,Tau,750,0.00378791955010503,0
13,Cerebellum,5,Tau,1000,0.00205128852479274,0
5,Thalamus,5,Tau,100,0.159907973733468,0.159907973733468
5,Thalamus,5,Tau,500,0.182655056905149,0
5,Thalamus,5,Tau,750,0.131890236838626,0.131890236838626
5,Thalamus,5,Tau,1000,0.124670051980093,0.124670051980093
14,Cerebellum,5,Tau,100,0.183821089832606,0.183821089832606
14,Cerebellum,5,Tau,500,0.111456395474811,0.111456395474811
14,Cerebellum,5,Tau,750,0.108716117759859,0.108716117759859
14,Cerebellum,5,Tau,1000,0.113689981956614,0.113689981956614
